clnt_id,clnt_gender,clnt_age,clnt_device,clnt_device_get,has_car,has_estate,clnt_children,clnt_income,clnt_pick,clnt_fortune,clnt_status,clnt_system,spend_last,spend_level,spend_points,manager_contact,is_premium
2001,1,32,sO@*%lun08,vgIXi0LgoZHQ71Mmekm1,0,0,1,180000,2,6,3,1,1428,320,76,7227,1
2006,1,20,)!%OA9qpZP,lmE6l7DelsqZNYgxcsAZ,1,0,0,250000,5,11,4,1,1428,1000,66,7227,1
2012,0,24,IgSHlRCsd#,yhUtC1GSVpWWNPCI9EYo,,0,0,310000,4,8,4,1,1428,1750,18,7233,1
2013,0,42,SSbZb5Hpun,TM4ptl78Lwzhng7PAY4G,1,0,1,110000,8,9,6,1,1428,1180,30,7227,1
2014,0,25,N)Eb*EJXD4,lmE6l7DelsqZNYgxcsAZ,1,0,1,300000,8,10,4,1,1428,1000,24,7227,1
2017,0,31,_)nLk%PngJ,EAE3RcxIwQfn3oIbcXZN,0,0,0,240000,5,13,2,1,1428,1180,252,7227,1
2019,1,31,vJ#XVpcNy6,TM4ptl78Lwzhng7PAY4G,0,0,0,150000,4,15,9,1,1428,1200,0,7227,1
2021,0,24,pi&NYvrpiu,lmE6l7DelsqZNYgxcsAZ,0,0,0,100000,8,8,5,1,1428,800,48,7227,1
2025,0,33,NMZa(_ZevK,RD8BUJjq4e1qknku300N,0,0,0,170000,2,12,9,1,1428,8000,233,7227,1
2026,1,1900,tZet+bbIC_,yHrDLKQ3V9TnmM5OZdNu,0,1,0,360000,9,13,11,1,1428,400,0,7122,1
2028,0,35,T+BA%psI8c,Xlh4OkBJvFkCElKYmKNQ,1,0,1,310000,6,15,3,3,1428,2000,0,7227,1
2038,0,21,ghOfqAzHdO,liZPCZF6tFgGEt1bTPHs,0,0,0,350000,9,16,6,1,1428,568,95,7227,1
2044,0,37,IgSHlRCsd#,noI8N7cvgfYPRswJVqSt,0,0,0,390000,3,13,3,1,1428,1520,35,7227,1
2045,0,30,+qOE#oK7Bu,4tn4ahgRkWMzsSCk5tnp,,,0,90000,2,14,1,1,1428,800,103,7227,1
2046,0,26,+qOE#oK7Bu,zY5grwt3TK2vXDNOXNtQ,0,1,0,180000,2,15,6,2,1428,2000,79,7227,1
2047,0,26,m1o4W&JCvy,xwVatkCS227il3xATBFE,1,0,0,10000,7,16,15,1,1428,2000,516,7227,1
2056,1,33,"",Jw5OmlNzw1TWSySS8Kz6,1,0,2,330000,7,16,8,1,1428,2200,168,7227,1
2062,0,23,T+BA%psI8c,Xlh4OkBJvFkCElKYmKNQ,1,0,1,28000000,6,13,8,1,1428,840,128,7229,1
2065,1,38,NMZa(_ZevK,Wlb9y8b5EujLakHZQZ0D,0,0,0,290000,6,16,1,1,1428,900,33,7227,1
2070,0,26,Y1+5*e_(9D,SYy2B7hNPyV792L5eCqu,0,0,0,310000,2,12,6,1,1428,1000,130,7228,1
2079,0,24,rcJgTotoi8,yHrDLKQ3V9TnmM5OZdNu,1,1,0,300000,9,21,0,2,1428,800,17,7227,1
