clnt_id,grey_goose_F0,grey_goose_F1,grey_goose_F2,grey_goose_F3,grey_goose_F4,goose_agg_0,goose_agg_1,goose_agg_2,goose_agg_3,goose_agg_4,goose_agg_5,goose_agg_6,goose_agg_7,goose_agg_8,goose_agg_9,goose_agg_10,goose_agg_11,goose_agg_12,goose_agg_13,goose_agg_14,goose_agg_15,goose_agg_16,goose_agg_17,goose_agg_18,goose_agg_19,goose_agg_20,goose_agg_21,goose_agg_22,goose_agg_23,goose_agg_24,goose_agg_25,goose_agg_26,goose_agg_27,goose_agg_28,goose_agg_29,wild_goose_A_0,wild_goose_A_1,wild_goose_A_2,wild_goose_A_3,wild_goose_A_4,wild_goose_A_5,wild_goose_A_6,wild_goose_A_7,wild_goose_A_8,wild_goose_A_9
3700,0,1,1,1,0,98,-87449,2138.69690625944,113,2109.79891653859,-6341,-9000,-89970,-1373.35,2537.60285298423,20,-105.102040816327,-60.3904761904762,109,7,-1053.60240963855,75,109,113,69,-27467,20,7,-13000,-1373.35,-13000,105,7,78,98,5743.75437198652,2362.99696713023,-6000,,,,,,12831.6252389449,5
4545,0,0,1,1,0,94,-542660,25775.0516035461,107,25539.7107526477,316814,-22000,-622180,-6719.83333333333,8555.97927962272,9,3353.03191489362,3106.01960784314,106,21,-6699.50617283951,73,106,107,68,-40539,8,21,-232310,-6171,-232310,102,19,77,94,,14289.9209409989,-22000,,1e+05,,,,,6
3656,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530.3594349041,-3800,-10500,20000,,,,9347.73813996377,6
4445,1,1,1,1,0,46,-122665,9808.46683334264,54,9415.71620501476,-99778,-46000,-140338,-5248.25,12232.141860239,13,-2060.39130434783,-2078.70833333333,53,8,-3228.02631578947,40,53,54,38,-62979,12,8,-46000,-5613.76923076923,-46000,48,7,44,46,871.779788708135,3386.31007566812,-10000,,,,,,935.269034378166,6
4112,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755.44049790878,-8000,-1111,720,1,-39,,934.470565665521,16
2268,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1662.32522174728,-5000,-1710.75,31500,1,-175,,13645.5120827326,16
3042,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87562.7288016997,-2e+05,-16365.6764705882,316066,,,,29513.6840942107,11
2578,0,1,0,1,1,151,-314860,7609.72801613814,195,7901.25170601106,386854,-12000,-471154,-3002.17857142857,3526.9836828061,40,23.4635761589404,2149.18888888889,193,13,-2645.88235294118,91,193,195,80,-99905,38,13,-66000,-2511.9,-66000,180,11,97,151,49502.7757701766,3887.99091609489,-10000,-5136.11111111111,51000,,,,41817.0858903826,10
4439,0,0,0,1,0,144,-199060,4899.31722601276,171,4760.14456341401,-103771,-5000,-206817,-1279.47368421053,1600.02838516488,20,-701.222222222222,-656.778481012658,167,22,-1485.5223880597,86,167,171,78,-24510,20,22,-40000,-1225.5,-40000,158,21,91,144,,1652.87628091155,-4000,-170,500,1,-255,,353.553390593274,8
2742,1,1,1,1,0,38,-219169,24070.3301944085,53,24171.030553577,-212275,-149000,-291497,-18119.8,44062.0322438099,11,-5081.13157894737,-4422.39583333333,53,9,-7557.55172413793,37,53,53,30,-182648,11,9,-149000,-16604.3636363636,-149000,48,8,41,38,,,,,2500,,,,,6
