iter	MultiClass
0	3.1632428
1	3.004605654
2	2.878512947
3	2.747017034
4	2.622826778
5	2.50160853
6	2.377861788
7	2.26605365
8	2.158013562
9	2.063551569
10	1.965302276
11	1.879783071
12	1.800388408
13	1.720569947
14	1.6465401
15	1.579036591
16	1.519951102
17	1.465645689
18	1.413939547
19	1.364187041
20	1.318050718
21	1.274473096
22	1.234398689
23	1.195374426
24	1.161512722
25	1.12723443
26	1.095337344
27	1.065446371
28	1.036463405
29	1.010007068
30	0.9841237366
31	0.958859737
32	0.9363495273
33	0.9164162715
34	0.8994588473
35	0.8785873877
36	0.8622647747
37	0.8502555326
38	0.8344797031
39	0.8189823384
40	0.8050496463
41	0.7955479629
42	0.7813045344
43	0.7694768445
44	0.756464697
45	0.7449657183
46	0.7335157226
47	0.723575058
48	0.711353465
49	0.7026342828
50	0.6933123056
51	0.6810845785
52	0.6745006415
53	0.6653889247
54	0.654517668
55	0.6470880004
56	0.6380153668
57	0.6327628909
58	0.6259569448
59	0.617706822
60	0.6140177795
61	0.6082146974
62	0.6004048139
63	0.5963616711
64	0.5900140864
65	0.5850203292
66	0.5768802766
67	0.5722146439
68	0.5652265267
69	0.5590259846
70	0.5541756227
71	0.549111924
72	0.5443978464
73	0.5400072983
74	0.5356486185
75	0.5303016682
76	0.5240759341
77	0.5209136191
78	0.5165700028
79	0.5108946434
80	0.5061232991
81	0.500219237
82	0.4977556366
83	0.4927016875
84	0.4903757455
85	0.4851441384
86	0.4805152118
87	0.4750238578
88	0.4716631872
89	0.4684842395
90	0.4640006355
91	0.4604227518
92	0.4548423927
93	0.4505446354
94	0.4466810858
95	0.4434123913
96	0.4402141597
97	0.437530552
98	0.434535705
99	0.4306602411
100	0.4268736819
101	0.4224748755
102	0.4190389231
103	0.4158259037
104	0.4129088121
105	0.4090674938
106	0.4070911278
107	0.4041884688
108	0.401386823
109	0.3985014875
110	0.3943423179
111	0.3921687322
112	0.3901468825
113	0.3888291115
114	0.3864096436
115	0.3837925457
116	0.3813026048
117	0.3794891667
118	0.376761738
119	0.3743502235
120	0.3720941265
121	0.3703541864
122	0.3671444274
123	0.3657131057
124	0.3631221454
125	0.3600078324
126	0.3578617214
127	0.3557862256
