iter	Passed	Remaining
0	1481	1183642
1	2846	1135743
2	4142	1100522
3	5555	1105479
4	6885	1094798
5	8252	1092114
6	9589	1086299
7	10879	1077038
8	12122	1065393
9	13444	1062126
10	14892	1068175
11	16218	1065044
12	17458	1056932
13	18710	1050469
14	19913	1042161
15	21189	1038263
16	22609	1041352
17	23905	1038544
18	25159	1034193
19	26474	1032487
20	27775	1030324
21	29059	1027633
22	30333	1024758
23	31566	1020650
24	32780	1016181
25	34028	1012988
26	35280	1010072
27	36712	1012221
28	37981	1009773
29	39203	1006215
30	40401	1002227
31	41590	998164
32	42877	996568
33	44139	994434
34	45426	992899
35	46702	991136
36	48020	990266
37	49292	988445
38	50509	985590
39	51736	982987
40	52984	980860
41	54204	978266
42	55409	975466
43	56601	972509
44	57823	970148
45	59021	967435
46	60286	965874
47	61549	964278
48	62784	962267
49	64033	960495
50	65257	958391
51	66542	957181
52	67735	954692
53	68924	952183
54	70113	949714
55	71316	947497
56	72515	945249
57	73788	943983
58	75043	942498
59	76324	941336
60	77548	939486
61	78748	937357
62	79958	935389
63	81165	933404
64	82364	931350
65	83557	929262
66	84759	927294
67	85947	925196
68	87162	923416
69	88357	921437
70	89547	919441
71	90747	917558
72	91931	915539
73	93108	913472
74	94310	911668
75	95522	909974
76	96745	908402
77	97929	906471
78	99101	904456
79	100324	902922
80	101668	902463
81	102900	901005
82	104299	900993
83	105650	900546
84	106885	899094
85	108088	897382
86	109272	895530
87	110463	893750
88	111655	891989
89	112863	890367
90	114060	888671
91	115266	887049
92	116462	885363
93	117661	883715
94	118871	882155
95	120086	880632
96	121262	878839
97	122468	877273
98	123659	875607
99	124846	873926
100	126051	872379
101	127261	870867
102	128474	869382
103	129690	867926
104	130896	866411
105	132101	864888
106	133310	863405
107	134511	861867
108	135690	860201
109	136877	858593
110	138077	857073
111	139294	855664
112	140495	854163
113	141696	852665
114	142921	851317
115	144142	849945
116	145334	848405
117	146539	846947
118	147746	845508
119	148960	844107
120	150169	842686
121	151477	841815
122	152716	840561
123	153927	839154
124	155117	837633
125	156440	836832
126	157718	835781
127	158931	834392
128	160140	832979
129	161394	831803
130	162616	830460
131	163868	829276
132	165125	828109
133	166328	826678
134	167587	825523
135	168817	824227
136	170010	822752
137	171280	821649
138	172515	820380
139	173721	818974
140	174944	817649
141	176250	816709
142	177474	815391
143	178665	813921
144	179866	812501
145	181062	811059
146	182248	809580
147	183438	808122
148	184648	806753
149	185834	805281
150	187019	803812
151	188216	802397
152	189409	800968
153	190650	799740
154	191845	798326
155	193070	797032
156	194281	795689
157	195502	794384
158	196713	793041
159	197908	791635
160	199101	790222
161	200308	788870
162	201513	787510
163	202735	786217
